model,window,fold,mse,mae,r2
polynomial_regression,2,0,3.0950846321905936,0.8408514341128566,0.99907500635981
polynomial_regression,2,1,3.2487009555234363,0.7038824200041868,0.9993457744092205
polynomial_regression,2,2,3.4377198272539085,0.7248006829368503,0.9994966848909308
polynomial_regression,2,3,17.532752741928515,0.8032798159096834,0.9981278843137188
polynomial_regression,2,4,8.814676366002068,0.9550612771849156,0.998949182140384
polynomial_regression,3,0,3.27688933470404,0.8486939951896311,0.9990202332365015
polynomial_regression,3,1,3.422182014928468,0.7081631901554492,0.9993113684226582
polynomial_regression,3,2,3.492695603497104,0.7287326311600059,0.9994896022005364
polynomial_regression,3,3,17.984321185092647,0.8110660593977832,0.9980784082490707
polynomial_regression,3,4,9.06963039117807,0.9599683491236795,0.9989192982931502
polynomial_regression,4,0,3.362153147730904,0.8540434148377345,0.9989956189060383
polynomial_regression,4,1,3.528310451341462,0.7139174189927434,0.9992905769805106
polynomial_regression,4,2,3.575116424526016,0.7333808982169578,0.9994774791375267
polynomial_regression,4,3,19.637480697002946,0.8220014175633311,0.9979029111688775
polynomial_regression,4,4,9.337973185894917,0.9676166312427283,0.9988874018296965
polynomial_regression,5,0,3.8706272170145906,0.8793454509663715,0.9988430320296399
polynomial_regression,5,1,3.7442291195271924,0.7223961246639243,0.9992478569640156
polynomial_regression,5,2,3.767178181848683,0.7400645093368804,0.9994507476589859
polynomial_regression,5,3,20.71807225018861,0.8332534538514308,0.9977852177064711
polynomial_regression,5,4,9.505274817829436,0.9760262830617936,0.9988677567735782
