model,window,fold,mse,mae,r2
polynomial_regression,2,0,3.0914898512664917,0.8498592886663032,0.9990760806921426
polynomial_regression,2,1,3.1223021686798855,0.7020092673541006,0.9993712286822141
polynomial_regression,2,2,3.3765402737516736,0.7262099910908772,0.9995056421635391
polynomial_regression,2,3,17.344149441835334,0.8035687438161455,0.9981480230336213
polynomial_regression,2,4,8.74399932103602,0.9568587938140874,0.9989576077136021
polynomial_regression,3,0,3.106417956639593,0.8514440636248006,0.999071202974352
polynomial_regression,3,1,3.125577496267051,0.7029118021014387,0.9993710529270596
polynomial_regression,3,2,3.3888064957277435,0.7280476302346299,0.9995047838189804
polynomial_regression,3,3,17.366295460244828,0.805840641192016,0.9981444431648459
polynomial_regression,3,4,8.800805047972181,0.958811511971237,0.9989513304702861
polynomial_regression,4,0,3.1210804864652895,0.8525892569305663,0.9990676349066805
polynomial_regression,4,1,3.145306764460905,0.7042804476041529,0.9993675859727095
polynomial_regression,4,2,3.4030430323972136,0.7291441113248607,0.9995026285107462
polynomial_regression,4,3,17.53595230798949,0.8078887508179506,0.9981273336281984
polynomial_regression,4,4,8.876580659343242,0.9611114717334963,0.9989423756950754
polynomial_regression,5,0,3.152032015718864,0.855564735934124,0.9990578270964184
polynomial_regression,5,1,3.1675384530529747,0.7056071397278677,0.9993637029378755
polynomial_regression,5,2,3.435534024555819,0.7312133154913846,0.9994991011801053
polynomial_regression,5,3,17.580259048553266,0.8097406550496542,0.9981206530228202
polynomial_regression,5,4,8.909839580111589,0.96287066927081,0.9989386834461468
